label,count,mean,std,min,25%,50%,75%,max
case,248725.0,1.3291463703734199,0.9045182800579494,-2.543837442,0.7180453529999999,1.3299688509999998,1.938263794,5.553055906
control,248740.0,0.6334549320987244,0.9030195123660062,-3.461764603,0.02386753575,0.6329691945,1.2415578362500002,5.160392432
